index,day_date
2020-04-27,463
2021-02-18,224
2021-04-20,224
2021-02-07,213
2021-02-19,167
2021-04-14,164
2021-02-20,160
2021-02-16,158
2021-02-11,154
2021-04-17,147
2021-03-01,147
2021-02-25,141
2021-03-04,140
2021-04-01,140
2021-01-31,140
2021-05-03,139
2021-02-23,138
2021-02-17,137
2021-04-27,124
2021-02-10,120
2021-02-21,117
2020-05-02,116
2021-04-26,115
2021-04-15,115
2021-02-13,113
2021-05-01,112
2021-03-20,109
2021-04-22,109
2021-01-30,107
2021-02-24,106
2021-03-02,106
2021-04-29,103
2021-03-05,101
2021-04-18,100
2021-04-19,99
2021-04-30,98
2021-05-02,97
2021-01-27,97
2021-04-21,97
2021-06-26,96
2020-04-28,94
2021-02-26,89
2021-04-28,87
2021-03-21,87
2021-04-23,87
2021-02-14,86
2021-03-07,86
2021-05-27,86
2021-05-04,83
2021-02-15,82
2021-04-12,77
2021-04-02,77
2021-03-03,75
2021-02-04,72
2021-02-05,69
2021-03-19,69
2021-07-04,69
2021-07-11,68
2020-04-30,68
2021-03-06,63
2021-02-12,62
2021-07-12,62
2021-06-19,62
2021-07-10,61
2021-06-11,61
2021-05-06,59
2021-03-18,58
2021-05-21,57
2021-07-05,57
2021-03-08,57
2021-02-01,53
2021-02-02,53
2021-07-08,53
2021-01-28,52
2021-05-05,52
2021-06-22,51
2021-02-22,49
2021-06-30,49
2021-04-09,48
2021-03-28,47
2021-07-03,47
2021-02-06,46
2021-03-12,46
2021-02-27,44
2021-04-25,44
2021-07-07,43
2021-01-24,43
2021-04-16,43
2021-06-18,42
2021-01-29,42
2021-02-28,42
2021-05-30,42
2021-07-14,42
2021-03-16,42
2021-06-20,41
2021-03-13,41
2021-06-12,40
2021-02-09,39
2021-06-10,39
2021-05-25,38
2021-06-24,38
2021-05-18,37
2021-02-03,37
2021-05-14,37
2021-03-31,36
2021-07-02,36
2021-07-09,36
2021-01-25,36
2021-06-16,35
2021-07-13,35
2021-06-07,35
2021-02-08,35
2021-06-21,33
2021-07-15,33
2021-06-05,33
2021-07-01,33
2020-05-06,33
2021-06-14,33
2021-05-28,32
2021-01-22,32
2020-05-09,32
2021-04-24,31
2021-05-17,30
2021-03-15,29
2021-06-01,28
2021-03-17,28
2021-04-06,28
2021-07-16,28
2021-03-27,28
2021-05-22,28
2021-06-02,28
2020-04-29,27
2021-03-30,27
2021-06-28,27
2021-06-03,26
2021-06-27,26
2021-06-15,26
2021-06-13,25
2021-05-24,25
2021-07-06,25
2021-01-23,25
2021-03-10,24
2021-03-09,24
2021-05-10,24
2021-04-05,23
2021-03-29,23
2021-03-11,23
2021-05-13,23
2021-06-08,22
2021-06-23,22
2021-05-16,22
2021-05-20,22
2021-03-26,21
2021-04-10,21
2021-06-09,21
2021-04-13,20
2021-03-25,20
2021-05-12,20
2021-06-17,19
2021-06-04,19
2021-04-07,18
2021-04-03,17
2021-05-26,17
2020-05-19,16
2021-04-08,14
2021-06-06,14
2021-03-14,14
2021-05-29,14
2021-06-25,13
2021-05-19,12
2021-06-29,12
2021-05-11,12
2021-03-23,11
2021-01-26,11
2020-08-08,11
2021-05-15,11
2020-06-01,10
2021-05-31,10
2021-03-22,10
2021-05-08,9
2021-05-09,9
2021-05-07,8
2021-04-04,6
2021-04-11,6
2020-05-07,5
2020-05-04,5
2021-05-23,4
2021-01-16,3
2020-05-01,2
2020-05-20,1
2020-05-03,1
2020-08-11,1
2020-05-22,1
